<unk>	UNKNOWN
A Ana le encanta desayunar despacio.  	Ella \name{ANA} ENCANTAR DESPACIO DESAYUNAR DESPACIO,
A veces mamá le dice que se dé prisa porque va a llegar tarde a clase.  	MUCHAS-VECES MAMÁ DECIR POR-FAVOR, HORA MUY-TARDE, CLASE, VAMOS DEPRISA.
Muchas veces mamá le dice: por favor, es tarde para la clase, date prisa.  	MUCHAS-VECES MAMÁ DECIR POR-FAVOR, HORA MUY-TARDE, CLASE, VAMOS DEPRISA.
Ella desayuna todos los días leche caliente y una tostada con aceite.  	ELLA TODOS-LOS-DÍAS LECHE CALIENTE ADEMÁS TOSTADA ACEITE, TODOS-LOS-DÍAS DESAYUNAR.
Ella todos los días desayuna leche caliente y tostada con aceite.  	ELLA TODOS-LOS-DÍAS LECHE CALIENTE ADEMÁS TOSTADA ACEITE, TODOS-LOS-DÍAS DESAYUNAR.
Los domingos papá compra churros y,	DOMINGO+ PAPÁ CHURRO COMPRAR,
Los domingos papá compra churros y	DOMINGO+ PAPÁ CHURRO COMPRAR,
entonces, Ana cambia su desayuno.  	ELLA CAMBIAR DESAYUNO, CAMBIAR.
ella cambia el desayuno.	ELLA CAMBIAR DESAYUNO, CAMBIAR.
Tras desayunar, Ana y yo cogemos nuestras mochilas y nos vamos al colegio.  	FIN DESAYUNO NOSOTROS 2 IR PONERSE-LA-MOCHILA IR COLEGIO.
Después de desayunar, las dos nos ponemos las mochilas y nos vamos al colegio.	FIN DESAYUNO NOSOTROS 2 IR PONERSE-LA-MOCHILA IR COLEGIO.
Papá nos lleva a la esquina de la calle.	PAPÁ ACOMPAÑAR ESQUINA CALLE,
Papá nos acompaña a la esquina de la calle.	PAPÁ ACOMPAÑAR ESQUINA CALLE,
Allí nos recoge el autobús del colegio.  	ESQUINA, Í VENIR AUTOBÚS. AUTOBÚS ESPECIAL COLEGIO.
En la esquina viene el autobús del colegio.	ESQUINA, Í VENIR AUTOBÚS. AUTOBÚS ESPECIAL COLEGIO.
Cuando llega el autobús, todos los niños se ponen en fila. Los menores entran los primeros.	TOCA VENIR AUTOBÚS TODOS NIÑOS \cl{fila de niños}. EJEMPLO PEQUEÑO PRIMERO,
Cuando viene el autobús todos los niños nos ponemos en fila, los más pequeños los primeros.	TOCA VENIR AUTOBÚS TODOS NIÑOS \cl{fila de niños}. EJEMPLO PEQUEÑO PRIMERO,
Ana siempre entra antes que yo.  	\name{ANA} PRIMERO, YO SEGUNDO.
Primero va Ana y en segundo lugar yo.	\name{ANA} PRIMERO, YO SEGUNDO.
Cuando llegamos al colegio, Ana se va a su clase.  	ENTONCES, TOCA COLEGIO \name{ANA} IR CLASE AULA SU.
En el colegio Ana se va a su clase.	ENTONCES, TOCA COLEGIO \name{ANA} IR CLASE AULA SU.
Yo no la vuelvo a ver hasta la hora del recreo.  	DESPUÉS, VERSE HORA DESCANSO VERSE.
Después nos vemos en la hora del recreo.	DESPUÉS, VERSE HORA DESCANSO VERSE.
Ana ya sabe leer y escribir. Es muy lista.  	ELLA \name{ANA} SABER LEER, ESCRIBIR, MUY-INTELIGENTE.
Ana sabe leer y escribir, es muy inteligente.	ELLA \name{ANA} SABER LEER, ESCRIBIR, MUY-INTELIGENTE.
La maestra dice que es una niña muy buena, aunque algo traviesa.  	MUJER-PROFESOR DECIR MUY BUENO, PERO UN-POCO TRAVIESO++.
La profesora dice que es muy buena, pero un poco traviesa.	MUJER-PROFESOR DECIR MUY BUENO, PERO UN-POCO TRAVIESO++.
En clase, Ana aprende muchas cosas. A ella le gusta mucho dibujar y leer. 	DENTRO CLASE \name{ANA} APRENDER MUCHO COSAS ETCÉTERA, ENCANTAR DIBUJAR, LEER,
En la clase Ana aprende muchas cosas diferentes, le encanta dibujar, leer,	DENTRO CLASE \name{ANA} APRENDER MUCHO COSAS ETCÉTERA, ENCANTAR DIBUJAR, LEER,
También le gusta aprender cosas sobre la vida de los animales.  	TAMBIÉN GUSTAR COSAS VIDA SU ANIMALES GUSTAR.
también le gustan las cosas de la vida de los animales.	TAMBIÉN GUSTAR COSAS VIDA SU ANIMALES GUSTAR.
A las dos y media vamos a casa.	HORA 2 Y-MEDIA, IR CASA.
Nos lavamos las manos y ayudamos a mamá y a papá a poner la mesa.	LAVARSE-LAS-MANOS TAMBIÉN PADRE-MADRE MESA PREPARAR PLATO.
Nos lavamos las manos y también papá y mamá ponen los platos en la mesa.	LAVARSE-LAS-MANOS TAMBIÉN PADRE-MADRE MESA PREPARAR PLATO.
Tenemos mucha hambre y nos comemos todo lo que nos ponen	HAMBRE MUCHO, COMER PLATO AGOTADO.
Tenemos mucha hambre y nos comemos todo el plato	HAMBRE MUCHO, COMER PLATO AGOTADO.
Ana bebe zumo de naranja mientras almuerza.	BEBER ZUMO NARANJA COMER
Bebe zumo de naranja con la comida.	BEBER ZUMO NARANJA COMER
También le gusta comer pan blanco.	TAMBIÉN, GUSTAR QUÉ?, PAN BLANCO,
También le gusta el pan blanco 	TAMBIÉN, GUSTAR QUÉ?, PAN BLANCO,
Su plato favorito es la tortilla de patatas y el arroz blanco. 	ADEMÁS ENCANTAR ARROZ BLANCO, TORTILLA PATATA.
y le encanta el arroz blanco y la tortilla de patatas.	ADEMÁS ENCANTAR ARROZ BLANCO, TORTILLA PATATA.
Después de la comida, mamá siempre nos da un poco de chocolate.  	DESPUÉS COMER FIN COMER, CHOCOLATE MAMÁ DAR-ME.
Después de comer, mamá nos da chocolate.	DESPUÉS COMER FIN COMER, CHOCOLATE MAMÁ DAR-ME.
Tras el almuerzo, Ana y yo quitamos la mesa y ayudamos a poner los platos en el lavavajillas.	FIN COMIDA MEDIODÍA \name{ANA} NOSOTROS 2 MESA PLATO \cl{quitar los platos de la mesa} TAMBIÉN APOYAR PARA LAVAVAJILLAS PLATO DENTRO.
Tras el almuerzo las dos quitamos la mesa y ayudamos a poner los platos en el lavavajillas. 	FIN COMIDA MEDIODÍA \name{ANA} NOSOTROS 2 MESA PLATO \cl{quitar los platos de la mesa} TAMBIÉN APOYAR PARA LAVAVAJILLAS PLATO DENTRO.
Tras esto, nos sentamos con papá y mamá en el salón.  	FIN, SALÓN SENTAR PADRE-MADRE.
Cuando terminamos nos sentamos en el salón con papá y mamá.	FIN, SALÓN SENTAR PADRE-MADRE.
Unos días papá pone el vídeo y vemos películas de animales o de dibujos animados.  	ALGUNOS DÍA+ VER VÍDEO ANIMADO DIBUJO O ANIMALES.
Algunos días vemos vídeos de dibujos animados o animales.  	ALGUNOS DÍA+ VER VÍDEO ANIMADO DIBUJO O ANIMALES.
Otros días, jugamos a distintos juegos.  	OTRO DÍA, DEPENDER, JUGAR COSAS ETCÉTERA, DEPENDER.
Otros días jugamos a distintas cosas, depende.	OTRO DÍA, DEPENDER, JUGAR COSAS ETCÉTERA, DEPENDER.
A las 17 nos ponemos a hacer los deberes.  	HORA 5 NOSOTROS COLEGIO DEBERES PREPARAR.
A las cinco y media preparamos los deberes del colegio.  	HORA 5 Y-MEDIA NOSOTROS COLEGIO DEBERES PREPARAR.
Ana casi nunca tiene que hacer nada.	\name{ANA} HACER NADA.
Ana no hace nada.  	\name{ANA} HACER NADA.
Entonces, se pone a leer libros.  	ELLA HACER LIBRO LEER.
Ella lee un libro.	ELLA HACER LIBRO LEER.
Después, merendamos leche y un bocadillo.  	DESPUÉS, COMER BOCADILLO LECHE VASO.
Después, comemos un bocadillo y un vaso de leche.  	DESPUÉS, COMER BOCADILLO LECHE VASO.
Luego, mamá nos lleva al parque.  	DESPUÉS, MAMÁ ACOMPAÑAR PARQUE.
Después, mamá nos acompaña al parque.  	DESPUÉS, MAMÁ ACOMPAÑAR PARQUE.
Allí Ana ve a sus amigas y se ponen a jugar.  	ALLÍ PARQUE AMIGO+ \name{ANA} JUGAR+.
Allí Ana juega con sus amigos.  	ALLÍ PARQUE AMIGO+ \name{ANA} JUGAR+.
Al final, se pone muy sucia de correr y tirarse por el suelo.  	AL-FINAL, SUCIO MOTIVO CORRER; SUELO \cl{persona revolcándose en el suelo} SUCIO ROPA.
Al final, se ensucia porque corre y se tira por el suelo y se ensucia la ropa.	AL-FINAL, SUCIO MOTIVO CORRER; SUELO \cl{persona revolcándose en el suelo} SUCIO ROPA.
Luego, volvemos a casa.  	FIN, IR CASA.
Luego, vamos a casa.	FIN, IR CASA.
Lo primero que hacemos es bañarnos.  	PRIMERO QUÉ-HACER? DUCHARSE LAVARSE.
Primero nos lavamos.  	PRIMERO QUÉ-HACER? DUCHARSE LAVARSE.
Después, preparamos la ropa y la mochila para el día siguiente.  	DESPUÉS, ROPA, MOCHILA POR-LA-MAÑANA ESO PREPARAR+.
Después, preparamos la ropa y la mochila de por la mañana.  	DESPUÉS, ROPA, MOCHILA POR-LA-MAÑANA ESO PREPARAR+.
Mientras, mamá y papá nos hacen la cena.  	MIENTRAS PAPÁ-MAMÁ QUÉ-HACER? POR-LA-NOCHE COMER.
Mientras, papá y mamá hacen la cena.	MIENTRAS PAPÁ-MAMÁ QUÉ-HACER? POR-LA-NOCHE COMER.
Luego, nos vamos a la cama. Ana y yo dormimos en la misma habitación, pero cada una tiene su cama.  	FIN, IR CAMA NOSOTROS HABITACIÓN, PRIVADO CAMA \cl{camas separadas}.
Luego, vamos a la cama, a la misma habitación pero a camas separadas.  	FIN, IR CAMA NOSOTROS HABITACIÓN, PRIVADO CAMA \cl{camas separadas}.
Papá viene a leernos algún cuento hasta que nos dormimos.	PAPÁ CUENTO LEER HASTA NOSOTROS QUEDARSE-DORMIDO.
Papá lee un cuento hasta que nos quedamos dormidas.	PAPÁ CUENTO LEER HASTA NOSOTROS QUEDARSE-DORMIDO.
Algunas veces, de madrugada, Ana se despierta porque tiene sed.  	ALGUNAS-VECES DE-MADRUGADA \name{ANA} DESPERTAR MOTIVO SED
Algunas veces, de madrugada, Ana se despierta porque tiene sed.	ALGUNAS-VECES DE-MADRUGADA \name{ANA} DESPERTAR MOTIVO SED
Entonces, llama a mamá o a papá y ellos le traen un vaso de agua.  	ELLA QUÉ-HACER?, PAPÁ O MAMÁ LLAMAR PARA AGUA VASO.
Llama a papá o a mamá para que le traigan un vaso de agua.  	ELLA QUÉ-HACER?, PAPÁ O MAMÁ LLAMAR PARA AGUA VASO.
Después sigue durmiendo hasta las 8.30 de la mañana.  	DESPUÉS, QUEDARSE-DORMIDO HASTA HORA OCHO Y-MEDIA POR-LA-MAÑANA.
Después, se queda dormida hasta las ocho y media de la mañana.  	DESPUÉS, QUEDARSE-DORMIDO HASTA HORA OCHO Y-MEDIA POR-LA-MAÑANA.
Buenos días.	BUENOS DÍAS.
Hoy vamos a hablar sobre William Stokoe.	HOY TEMA STOKOE NOMBRE \dl{WILLIAM} \dl{STOKOE}.
Esta es su foto.	MIRAR FOTO.
William Stokoe nació en 1919 en EEUU y murió hace relativamente poco en el año 2000.	STOKOE NACER AÑO 1 9 1 9, ALLÍ AMÉRICA EEUU. ÉL MORIR HACE-POCO AÑO 2 0 0 0.
Estudio Lingüística y trabajó durante mucho tiempo como profesor en la Universidad de Gallaudet.	ALLÍ ESTUDIAR LINGÜÍSTICA, ADEMÁS TRABAJAR DURANTE-MUCHO-TIEMPO PROFESOR UNIVERSIDAD GALLAUDET \dl{GALLAUDET}.
Su trabajo como profesor se centró en la enseñanza tanto a sordos como oyentes que supieran lengua de signos.	ÉL SOLO ENSEÑAR CENTRAR \cl{personas de pie en semicírculo} SORDO ADEMÁS OYENTE SABER SIGNAR.
En un principio enseñó a través del inglés la importancia de la lengua de signos a sus alumnos sordos.	STOKOE EN-UN-PRINCIPIO TRABAJAR INGLÉS ENSEÑAR \cl{personas de pie en semicírculo} ALUMNO SORDO.
Gracias a sus investigaciones fue la primera persona del mundo en demostrar que la lengua de signos es una lengua y afirmó que contaba con tres parámetros: configuración, movimiento y lugar de articulación.	MIRAR DESCUBRIR++ SIGNAR SEÑALAR-LA-MANO REALMENTE IMPORTANTE UFF! INVESTIGAR. EL-PRIMERO ESTRENAR MUNDO, DEMOSTRAR SIGNAR LENGUA VERDAD EVIDENTE AUTÉNTICO, FONOLOGÍA HABER. EMPEZAR INVESTIGAR DESCUBRIR SOLO 3, PRIMERO CONFIGURACIÓN, SEGUNDO MOVIMIENTO, TERCERO LUGAR.
Por otro lado creó el primer diccionario de lengua de signos americana, ASL.	TAMBIÉN ELABORAR CREAR DICCIONARIO EL-PRIMER ESTRENAR DICCIONARIO LENGUA-DE-SIGNOS AMÉRICA \dl{ASL}.
Explicando en detalle cada uno de los signos que recopiló y agrupándolos dependiendo de la configuración, el movimiento y el lugar de articulación.	DETALLE ESTABLECER LINGUISTICO SIGNO+++ RECOPILAR, POR-EJEMPLO LUGAR, CONFIGURACION, ÁREA MOVIMIENTO.
Gracias a Stokoe comenzaron a surgir investigaciones a nivel mundial sobre la lengua de signos	STOKOE GRACIAS MOTIVO MUNDO CREAR++ INVESTIGACIÓN LENGUA-DE-SIGNOS ESTE
Descubrieron mucho acerca de la lingüística de esta lengua y que la lengua evolucionaba.	 LINGÜÍSTICA DESCUBRIR++ VARIOS, EJEMPLO SIGNAR SEÑALAR-LA-MANO EVOLUCIÓN.
El signo que actualmente se usa para pasear es distinto al que se usaba antiguamente.	SIGNO ACTUAL PASEAR, HACE-MUCHO-TIEMPO DIFERENTE.
Otro ejemplo... dejadme pensar. Ah sí, el signo de teléfono también era distinto antes.	OTRO EJEMPLO..., EJEMPLO ACTUAL TELÉFONO HACE-MUCHO-TIEMPO DIFERENTE.
Es muy interesante, no lo sabía.	YA-VEO INTERESANTE, SABER NO.
¿Por qué el signo de teléfono antiguamente era así?	PREGUNTAR SIGNO TELÉFONO-antiguo MOTIVO?
Claro es que la forma original de los teléfonos antiguos era distinta a la actual.	CLARO! MOTIVO HACE-MUCHO-TIEMPO ANTIGUO TELÉFONO? FORMA DIFERENTE
Estas investigaciones también demuestran que la lengua de signos comenzó utilizando el dactilológico para muchos de sus signos.	TAMBIÉN INVESTIGAR DESCUBRIR++ SIGNAR SIGNO++ ALGUNO EMPEZAR CREAR CÓMO? RECOGER DACTILOLOGÍA
Por ejemplo el signo de Coca-Cola que se signa C-C porque el nombre contiene las dos C mayúsculas, y para ello se usa el dactilológico.	EJEMPLO COCA-COLA MOTIVO HABER 2 \dl{C}++ DACTILOLOGÍA.
¿Se os ocurre algún otro ejemplo con dactilológico?	PENSAR OTRO DACTILOLOGÍA A-VER VENGA
Es fácil.	FÁCIL.
Por otro lado tenemos también signos que se parecen a palabras, pero mal entendidas.	OTRO TEMA MUCHO++ VER PALABRA++ PARECER SIGNO CREAR, MAL
Claro es como para decir sangría que se usa el signo de SANGRE 	POR-EJEMPLO BEBIDA SANGRÍA PALABRA PARECIDO PARECER SANGRE
Ahora nos vamos a centrar.	AHORA CENTRAR
En España las investigaciones hablan de cuatro parámetros nuevos: configuración, lugar, orientación y movimiento.	ESPAÑA PERSONA INVESTIGAR FONOLOGÍA NUEVO SOLO 4. PRIMERO CONFIGURACIÓN, SEGUNDO LUGAR, TERCERO ORIENTACIÓN, CUARTO MOVIMIENTO.
¿Me habéis entendido?	COMPRENDER A-MI?
Ahora vamos a hacer unos ejercicios muy fáciles.	BIEN? AHORA EJERCICIO+ FÁCIL.
Una pregunta, ¿el lugar de articulación da igual?	PREGUNTAR LUGAR TRONCO ARRIBA-O-ABAJO DAR-IGUAL?
Da igual, vale.	VALE, DA-IGUAL DECIR.
¡Muy bien! No hace falta que pensemos más signos.	MUY-BIEN, AHORA VOSOTROS SIGNO++ PENSAR NO, NADA.
Ahora vamos abuscar en el DILSE, este es su signo.	AHORA BUSCAR DICCIONARIO \dl{LSE} SIGNO DILSE.
En este signo la orientación es diferente, ¿por qué?	PREGUNTAR SIGNO ADICIONAL ORIENTACIÓN DIFERENTE. MOTIVO?
Buena pregunta.	MUY-BIEN.
Es porque este signo consta de dos orientaciones. Empieza con la palma de la mano hacia atrás y acaba con la palma hacia delante.	MOTIVO SIGNO ADICIONAL 2 ORIENTACIÓN PRINCIPIO \cl{palma de la mano hacia atrás}, LUEGO \cl{palma hacia delante}.
Vamos a hablar de la vida de diferentes personas.	AHORA TEMA ESPECIFÍCO VIDA PERSONA++.
En esta ocasión hablaremos de Félix Pinedo, una persona muy popular e importante por haber sido presidente de la Confederación Nacional de Sordos de España durante 15 años y profesor de lecto-escritura de personas sordas durante más de 50 años.	PERSONA POPULAR FÉLIX-PINEDO NOMBRE \dl{FÉLIX} \dl{PINEDO}. PERSONA POPULAR VAYA! IMPORTANTE MOTIVO ÉL PRESIDENTE CONFEDERACIÓN NACIONAL ESPAÑA PERSONA++ SORDA. ÉL ASUMIR CARGO DURANTE 1 5 AÑO. ADEMÁS TAMBIÉN PROFESOR SORDO GRAMÁTICA ESCRITURA. VAYA! YA DURANTE 50 AÑO MÁS-DE.
Ahora vamos a ver una entrevista con Félix en la que seguro encontrareis cosas interesantes y curiosidades.	AHORA VER ENTREVISTA VISIONAR SEGURO CURIOSO CURIOSIDAD INTERESANTE SEGURO.
Hola, ¿qué tal?	HOLA, QUÉ-TAL?
Bien.	BIEN
Vamos a hacer una breve entrevista a Félix.	AHORA ENTREVISTA BREVE A-ÉL FÉLIX.
¿Dónde naciste?	TÚ NACER DÓNDE?
Nací en un pueblo de País Vasco, de Bilbao.	PUEBLO, PAÍS-VASCO, BILBAO ZONA.
Concretamente en Sestao. Este es el signo.	PUEBLO NOMBRE \dl{SESTAO} SIGNO SESTAO.
Muy bien. ¿Qué día naciste?	 MUY-BIEN. TÚ FECHA NACER?
El día 9 de agosto de 1935	9 AGOSTO 1 9 3 5
Ah, y ¿ahora dónde vives?	¡AH! AHORA TÚ VIVIR DÓNDE?
En Madrid, bueno realmente en Madrid capital no. Vivo en San Fernando de Henares, un pueblo de Madrid.	MADRID. MADRID NO, PUEBLO CERCA NOMBRE SAN FERNANDO \dl{HENARES}
Por muchas cosas.	MOTIVO MUCHA++ COSA++.
El primer motivo es que antes no había casi libros escritos por sordos, alguno nada más.	PRIMERO ANTES HABER NO LIBRO ESCRIBIR SORDO NADA, 1 2 3
Y yo quería que los oyentes conociesen a los sordos porque los sordos conocemos ya a los oyentes.	 YO QUERER OYENTE OBJETIVO CONOCER ELLOS-A-ELLOS SORDO PORQUE SORDO, TÚ YO ÉL, CONOCER PERSONA OYENTE.
Faltaba que ellos entendiesen qué es una persona sorda, que no es alguien torpe y que mueve las manos y ya está, que se dieran cuenta de esto.	OYENTE SORDO QUÉ? SABER NO. SORDO TORPE, TONTO, SIGNAR-MAL FALTA EXPLICAR, OYENTE CONOCER, DAR-CUENTA.
Por eso he ido escribiendo diferentes materiales, y que además es algo que me gusta mucho.	MOTIVO PRIMERO, SEGUNDO, TERCERO LIBRO CREAR++ COSA++ GUSTAR MUCHO.
Ahora ya hay muchos materiales pero creo que al principio fue clave	AHORA YA CREAR++ MUCHO++ MUY-BIEN PERO YO PENSAR ESO PRINCIPIO ETAPA SER IMPORTANTE.
¡Qué curioso!	AH! CURIOSO!
Y de la época en la que estuviste como presidente, ¿de qué te sientes más orgulloso?	PERGUNTAR TÚ HACE-TIEMPO MÁS SENTIR ORGULLOSO ÉPOCA CUÁL?
Es difícil porque la palabra exacta no es orgulloso.	ORGULLOSO DIFÍCIL PALABRA ORGULLOSO NO EXACTAMENTE
Pero lo que sí podría decirte, que me haya podido hacer sentir orgulloso.	DIFERENTE PODER DECIR PARA-MÍ MÁS ORGULLOSO QUÉ?
A la edad de siete años fuí una persona sorda.	YO PERSONA SORDA SIETE-AÑOS.
Tuve mucha paciencia inmerso en un mundo oyente, y en esa situación los sordos siempre nos sentimos por detrás, inferiores.	 PACIENCIA++ MUNDO OYENTE. SORDO SIEMPRE INFERIORIDAD.
Yo me esforcé, estudié y poco a poco conseguí la igualdad con los oyentes.	YO ESTUDIAR MUCHO-ESFUERZO DESIGUAL SUBIR++ IGUALDAD OYENTE.
Yo creo que para mí el orgullo es que los sordos, los jóvenes sordos, hagan lo mismo que yo.	YO PENSAR ORGULLOSO PARA-MÍ. YO QUERER DAR SORDO A-TODOS JOVEN++ IGUAL YO.
No puede ser que se vean incapaces, que son menos que los oyentes, que los oyentes están por encima de los sordos.	PODER NO ELLOS SORDO YO SENTIR MENOSPRECIAR, SORDOYO MENOSPRECIAR OYENTE ENCIMA.
Los sordos si trabajan y se esfuerzan, estudian y aprenden poco a poco conseguirán lo mismo y se sentirán más orgullosos aún.	SORDO TRABAJAR, MUCHO-ESFUERZO, ESTUDIAR, APRENDER, DESIGUAL SUBIR++ MÁS ORGULLOSO.
La vida es fácil.	VIDA FÁCIL.
De modo que, como he dicho, los sordos si trabajan si se esfuerzan y si estudian irán progresando, y tendrán más mérito incluso quelos oyentes.	SORDO SI TRABAJAR, ESTUDIAR PROGRESAR TRABAJO MÁS MÉRITO MÁS-QUE-ÉL OYENTE.
Y yo los aplaudo, y me siento orgulloso de ellos.	MÁS FELICITACIÓN, ENHORABUENA, SORDO. ESO ORGULLOSO MÍO.
Ahora me gustaría que nos dedicases este libro como regalo a los niños sordos.	AHORA GUSTAR TÚ FIRMAR MOTIVO NIÑO SORDO QUERER REGALAR A-ELLOS.
Gracias.	GRACIAS.
La prehistoria comienza hace aproximadamente 4.000.000 años  con el mono.	PERÍODO PREHISTORIA COMENZAR APROXIMADO ANTES 4 MILLONES MONO EMPEZAR
Este evoluciona hasta la posición bípeda que consigue aproximadamente 600000 años antes de Cristo.	MONO EMPEZAR CABEZA \cl{levantar la cabeza} ANDAR. MUCHOS-AÑOS AVANZAR EVOLUCIONAR. HOMBRE APROXIMADO AÑO 6 0 0 0 0 0 CRISTO NACER ANTES.
En este momento se descubre el fuego.	FUEGO DESCUBRIR.
40000 años aC	AÑO 4 0 0 0 0 CRISTO NACER ANTES
se inventan armas como la lanza y el arte epieza a avanzar	INVENTAR LANZA, EMPEZAR ARTE AVANZAR
10000 aC se comienza a utilizar la agricultura y la ganadería	AÑO 1 0 0 0 0 CRISTO NACER ANTES, EMPEZAR AGRICULTURA ANIMALES CUIDAR.
3500 años aC se inventa la rueda	AÑO 3 5 0 0 CRISTO NACER ANTES, INVENTAR RUEDA
Después surge el pueblo egipcio.	DESPUÉS EGIPTO.
Ahora vamos a centrarnos en la historia de las personas sordas.	AVANZAR AHORA TEMA ESPECÍFICO SORDO HISTORIA
Durante toda la historia ha habido personas sordas que han sufrido grandes marginaciones y dificultades por el hecho de ser sordas	A-LO-LARGO-DEL-TIEMPO PARA-SIEMPRE SORDO HABER. SORDO INOCENTE, SUFRIR, OBSTÁCULO, DIFÍCIL, SITUACIÓN SORDO MARGINAR.
No existe ninguna evidencia al respecto.	SER-ASÍ HISTORIA EVIDENCIA HABER? HABER NO.
Ahora vamos al período que abarca desde 900 años aC hasta 500 años dC.	PERÍODO ANTIGÜEDAD AÑO 9 0 0 CRISTO NACER ANTES HASTA AÑO 5 0 0 CRISTO NACER DESPUÉS
Comienza a utilizarse la escritura, comienza a haber reyes y reinos, religión, sociedad, comercio, etc.	EMPEZAR ESCRITURA, PAÍS REY, CIUDAD, RELIGIÓN, SOCIEDAD, COMERCIO, ETCÉTERA
Por ejemplo en Egipto, Roma y Grecia. En el año 776 a.C. Grecia da comienzo a sus primeros Juegos Olímpicos.	EJEMPLO, EGIPTO, ROMA, GRECIA. UNA CURIOSIDAD, AÑO 7 7 6 CRISTO NACER ANTES, GRECIA EL-PRIMER ESTRENAR JUEGOS OLÍMPICOS.
Centrándonos en la historia de las personas sordas, encontramos que en el siglo 8 aC, ya hay escritos que las mencionan.	AHORA ESPECÍFICO TEMA SORDO. SIGLO 8 CRISTO NACER ANTES, ESCRITO TEMA SORDO.
Los Testigos de Jehová ya escribieron que las personas sordas no podían ser criticadas.	TESTIGO-JEHOVÁ DECIR PERSONA++ NOSOTROS SORDO SEÑALAR CRITICAR NO.
El famoso filósofo Platón escribió que las personas sordas podían comunicarse perfectamente a través de sus gestos.	UN FILÓSOFO FAMOSO NOMBRE \dl{PLATÓN}, SIGNO PLATÓN, ESCRIBIR DECIR QUÉ? REALMENTE PERSONA++ SORDA GESTO++ ENTENDIMIENTO PERFECTO.
En Grecia y Roma cualquier persona sorda nacida se abandonaba a su suerte en el río o en la montaña.	ANTES ÉPOCA GRECIA, ROMA, PERSONA SORDO NACER, COGER A-ÉL TIRAR A-ÉL RÍO, MONTAÑA TIRAR DEJAR.
En la Edad Media, que abarca desde el año 500 al 1500 dC, la sociedad estaba organizada en estamentos. El rey, los nobles, el clero, el ejército y el pueblo.	PERÍODO EDAD MEDIA, AÑO EMPEZAR AÑO 5 0 0 HASTA 1 5 0 0, SOCIEDAD CÓMO? ESTAMENTO++. ESTAMENTO REY, ESTAMENTO NOBLE, IGLESIA, ESTAMENTO SOLDADO, ESTAMENTO PUEBLO LOS-DEMÁS.
Éstos últimos vivían cerca de los palacios trabajando las tierras para comer y pagar al señor. La iglesia pagaba al rey.	PUEBLO PERSONA++ VIVIR CERCA PALACIO. AGRICULTURA COMER DAR NOBLE JEFE. TAMBIÉN IGLESIA REY.
En el año 1125 se inventa la brújula.	CURIOSIDAD AÑO 1 1 2 5 INVENTAR BRÚJULA.
En 1271 Marco Polo da la vuelta al mundo.	AÑO 1 2 7 1 HOMBRE NOMBRE \dl{MARCO} \dl{POLO} VIAJAR MUNDO ALREDEDOR-DEL-MUNDO.
En 1397 se crea el primer banco en Italia, un hito histórico.	AÑO 1 3 9 7 ITALIA POR-PRIMERA-VEZ BANCO CREAR IMPORTANTE++.
En 1455 se inventa la imprenta.	AÑO 1 4 5 5 INVENTAR IMPRENTA.
¿qué hay de las personas sordas? La situación era la misma, continuaban marginadas y en situación de pobreza.	SORDO QUÉ? IGUAL++. VIVIR, MARGINAR, POBREZA.
Tenían prohibido estudiar, no contaban con derechos ni tierras ya que no podían ni comprar ni vender.	EJEMPLO ESTUDIAR PROHIBIDO, DERECHO HABER NO. TIERRA PARCELA YO DINERO COMPRAR PODER NO, VENDER PODER NO++.
En España sobre el año 1500 lo único que consiguieron fue la posibilidad de casarse.	ESPAÑA, AQUÍ AÑO 1000 500 APROXIMADO CASARSE PERMITIR NADA-MÁS.
En la Edad Moderna, entre los años 1500 y 1800 se produjo un gran avance a todos los niveles si la comparamos con la Edad Media que fue una época de oscuridad.	EDAD MODERNA, AÑO APROXIMADO 1 5 0 0 HASTA AÑO 1 8 0 0 APROXIMADO, ÉPOCA IMPORTANTE. EDAD MODERNA AVANZAR. ANTES ANTERIOR EDAD MEDIA OSCURIDAD.
Por ejemplo en el año 1492 se descubre América	POR-EJEMPLO AÑO 1 4 9 2 DESCUBRIR AMÉRICA.
En 1522 seda la primera vuelta al mundo en barco.	AÑO 1 5 2 2 MUNDO BARCO VUELTA-AL-MUNDO POR-PRIMERA-VEZ.
Fue una época de inventos y avances.	EDAD MODERNA MUCHO++ INVENTO++.
Algunos ejemplos más: se inventan el telescopio, el microscopio,el termómetro etc.	EJEMPLO TELESCOPIO, MICROSCOPIO, TEMPERATURA TERMÓMETRO, ETCÉTERA.
Hasta que llega la revolución industrial y la Revolución Francesa.	HASTA REVOLUCIÓN INDUSTRIAL, REVOLUCIÓN FRANCESA.
A partir de ahí las personas sordas experimentan diversos avances.	ESTA ÉPOCA SORDO DESARROLLO ALGUNO.
El monje Fray Ponce de León fue el primero en dedicarse a la enseñanza de personas sordas y demostró que podían aprender.	MONJE NOMBRE \dl{PONCE} \dl{DE} \dl{LEÓN} POR-PRIMERA-VEZ ENSEÑAR NIÑO++ SORDO. DEMOSTRAR SORDOAPRENDER PODER, ENSEÑAR.
